dataset,series,domain,anomaly_kind,detector,tier,config,auc_pr,vus_pr,affil_f1,event_f1,runtime_s,tune_s,peak_mb,n_test,n_channels,anomaly_frac,status
ucr,110_UCR_Anomaly_2sddb40_35000_56600_56900,2sddb40,,ae,tuned,"{'w': 200, 'hidden': 32, 'latent': 8}",0.0068,0.0103,0.66237,0.01334,12.87,68.96,0.0,45001,1,0.00669,ok
ucr,112_UCR_Anomaly_BIDMC1_2500_5400_5600,BIDMC1,,iforest,default,,0.59123,0.46629,0.9965,0.72851,1.53,nan,17.0,8500,1,0.02365,ok
ucr,112_UCR_Anomaly_BIDMC1_2500_5400_5600,BIDMC1,,lof,default,,0.88555,0.75707,0.99844,0.96773,0.23,nan,17.0,8500,1,0.02365,ok
ucr,112_UCR_Anomaly_BIDMC1_2500_5400_5600,BIDMC1,,knn,default,,0.8814,0.74367,0.99868,0.9701,0.15,nan,17.0,8500,1,0.02365,ok
ucr,112_UCR_Anomaly_BIDMC1_2500_5400_5600,BIDMC1,,ae,default,,0.87214,0.74021,0.99841,0.96829,1.35,nan,25.5,8500,1,0.02365,ok
ucr,114_UCR_Anomaly_CIMIS44AirTemperature2_4000_5703_5727,CIMIS44AirTemperature2,,iforest,default,,0.01397,0.02054,0.76002,0.04708,1.36,nan,17.0,4184,1,0.00598,ok
ucr,114_UCR_Anomaly_CIMIS44AirTemperature2_4000_5703_5727,CIMIS44AirTemperature2,,iforest,tuned,"{'w': 50, 'n_estimators': 100}",0.01804,0.02348,0.77466,0.05734,0.98,6.35,0.0,4184,1,0.00598,ok
ucr,114_UCR_Anomaly_CIMIS44AirTemperature2_4000_5703_5727,CIMIS44AirTemperature2,,lof,default,,0.03245,0.04902,0.83617,0.10213,0.19,nan,17.0,4184,1,0.00598,ok
ucr,114_UCR_Anomaly_CIMIS44AirTemperature2_4000_5703_5727,CIMIS44AirTemperature2,,lof,tuned,"{'w': 50, 'k': 50}",0.99846,0.88124,0.99884,1.0,0.51,1.78,0.0,4184,1,0.00598,ok
ucr,114_UCR_Anomaly_CIMIS44AirTemperature2_4000_5703_5727,CIMIS44AirTemperature2,,knn,default,,0.16754,0.205,0.83757,0.37594,0.09,nan,17.0,4184,1,0.00598,ok
