dataset,series,detector,raw,detrended,ma100,detrended_ma100
ucr,042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420,iforest,0.009242824825059276,0.009247394162717243,0.009088301673865842,0.009088171625228288
ucr,045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717,timesfm_resid,0.0257325095381549,0.025278636295369625,0.023893152215906238,0.023122261315127228
ucr,045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717,tirex_resid,0.025382102983800087,0.02500018685713059,0.02203368028486321,0.021542393012310347
ucr,045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717,chronos_base_resid,0.030143917485540652,0.029618851229190123,0.033671321702749675,0.03213222300519391
ucr,045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717,chronos_small_resid,0.03006810236962929,0.02961612815560085,0.03276182101821881,0.031596118495520575
ucr,045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717,knn,0.13952819502258523,0.13948444672675497,0.15399914314434476,0.15391649889136388
ucr,045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717,lof,0.029242779883663222,0.028005093313812717,0.028614078489884363,0.028619801617208875
ucr,045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717,ae,0.04567349917997296,0.04574261228618843,0.048139084370036944,0.0481403977338296
ucr,045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717,iforest,0.01567918017871448,0.01567658681066792,0.01573365241961964,0.015733465074627695
ucr,048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085,timesfm_resid,0.11146511913703798,0.10688282186357173,0.33783373706361697,0.3275112809431704
ucr,048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085,tirex_resid,0.08515928106856302,0.0785310320488421,0.2691289902835878,0.2566950125069654
ucr,048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085,chronos_base_resid,0.09835976812141359,0.08356031269944215,0.23719534321450708,0.2228295239570608
